"","Our_Taxonomy","sample","Cruise_Station","Cruise","Station","Day","ASV"
"75","Flavobacteriales","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",584
"76","Flavobacteriales","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",730
"77","Flavobacteriales","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",618
"78","Flavobacteriales","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",621
"79","Flavobacteriales","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",398
"80","Flavobacteriales","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",275
"81","Flavobacteriales","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",920
"82","Flavobacteriales","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",1083
"83","Flavobacteriales","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",881
"84","Flavobacteriales","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",1015
"85","Flavobacteriales","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",363
"86","Flavobacteriales","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",426
"87","Flavobacteriales","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",424
"88","Flavobacteriales","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",701
"89","Flavobacteriales","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",446
"90","Flavobacteriales","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",313
"91","Flavobacteriales","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",493
"92","Flavobacteriales","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",320
"93","Flavobacteriales","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",341
"94","Flavobacteriales","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",251
"95","Flavobacteriales","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",251
"96","Flavobacteriales","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",463
"97","Oceanospirillales","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",93
"98","Oceanospirillales","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",112
"99","Oceanospirillales","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",22
"100","Oceanospirillales","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",9
"101","Oceanospirillales","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",100
"102","Oceanospirillales","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",58
"103","Oceanospirillales","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",57
"104","Oceanospirillales","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",120
"105","Oceanospirillales","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",9
"106","Oceanospirillales","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",33
"107","Oceanospirillales","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",0
"108","Oceanospirillales","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",33
"109","Oceanospirillales","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",40
"110","Oceanospirillales","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",28
"111","Oceanospirillales","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",59
"112","Oceanospirillales","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",48
"113","Oceanospirillales","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",43
"114","Oceanospirillales","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",200
"115","Oceanospirillales","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",75
"116","Oceanospirillales","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",126
"117","Oceanospirillales","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",25
"118","Oceanospirillales","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",84
"119","Oceanospirillales","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",93
"120","Oceanospirillales","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",73
"121","Other_Alphaproteobacteria","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",34
"122","Other_Alphaproteobacteria","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",58
"123","Other_Alphaproteobacteria","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",24
"124","Other_Alphaproteobacteria","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",30
"125","Other_Alphaproteobacteria","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",42
"126","Other_Alphaproteobacteria","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",8
"127","Other_Alphaproteobacteria","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",41
"128","Other_Alphaproteobacteria","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",102
"129","Other_Alphaproteobacteria","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",0
"130","Other_Alphaproteobacteria","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",22
"131","Other_Alphaproteobacteria","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",0
"132","Other_Alphaproteobacteria","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",3
"133","Other_Alphaproteobacteria","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",11
"134","Other_Alphaproteobacteria","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",26
"135","Other_Alphaproteobacteria","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",98
"136","Other_Alphaproteobacteria","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",22
"137","Other_Alphaproteobacteria","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",115
"138","Other_Alphaproteobacteria","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",131
"139","Other_Alphaproteobacteria","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",76
"140","Other_Alphaproteobacteria","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",93
"141","Other_Alphaproteobacteria","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",16
"142","Other_Alphaproteobacteria","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",90
"143","Other_Alphaproteobacteria","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",29
"144","Other_Alphaproteobacteria","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",70
"145","Other_Bacteroidetes","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",0
"146","Other_Bacteroidetes","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",10
"147","Other_Bacteroidetes","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",11
"148","Other_Bacteroidetes","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",0
"149","Other_Bacteroidetes","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",0
"150","Other_Bacteroidetes","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",5
"151","Other_Bacteroidetes","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",0
"152","Other_Bacteroidetes","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",0
"153","Other_Bacteroidetes","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",11
"154","Other_Bacteroidetes","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",0
"155","Other_Bacteroidetes","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",24
"156","Other_Bacteroidetes","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",10
"157","Other_Bacteroidetes","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",2
"158","Other_Bacteroidetes","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",6
"159","Other_Bacteroidetes","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",0
"160","Other_Bacteroidetes","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",0
"161","Other_Bacteroidetes","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",0
"162","Other_Bacteroidetes","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",9
"163","Other_Bacteroidetes","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",0
"164","Other_Bacteroidetes","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",0
"165","Other_Bacteroidetes","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",10
"166","Other_Bacteroidetes","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",9
"167","Other_Bacteroidetes","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",2
"168","Other_Bacteroidetes","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",0
"169","Other_Cyanobacteria","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",0
"170","Other_Cyanobacteria","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",0
"171","Other_Cyanobacteria","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",0
"172","Other_Cyanobacteria","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",0
"173","Other_Cyanobacteria","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",4
"174","Other_Cyanobacteria","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",4
"175","Other_Cyanobacteria","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",0
"176","Other_Cyanobacteria","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",0
"177","Other_Cyanobacteria","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",0
"178","Other_Cyanobacteria","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",0
"179","Other_Cyanobacteria","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",0
"180","Other_Cyanobacteria","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",0
"181","Other_Cyanobacteria","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",0
"182","Other_Cyanobacteria","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",0
"183","Other_Cyanobacteria","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",0
"184","Other_Cyanobacteria","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",0
"185","Other_Cyanobacteria","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",0
"186","Other_Cyanobacteria","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",2
"187","Other_Cyanobacteria","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",6
"188","Other_Cyanobacteria","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",7
"189","Other_Cyanobacteria","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",2
"190","Other_Cyanobacteria","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",0
"191","Other_Cyanobacteria","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",3
"192","Other_Cyanobacteria","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",0
"193","Other_Gammaproteobacteria","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",0
"194","Other_Gammaproteobacteria","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",6
"195","Other_Gammaproteobacteria","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",0
"196","Other_Gammaproteobacteria","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",8
"197","Other_Gammaproteobacteria","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",28
"198","Other_Gammaproteobacteria","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",12
"199","Other_Gammaproteobacteria","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",2
"200","Other_Gammaproteobacteria","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",38
"201","Other_Gammaproteobacteria","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",21
"202","Other_Gammaproteobacteria","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",5
"203","Other_Gammaproteobacteria","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",28
"204","Other_Gammaproteobacteria","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",11
"205","Other_Gammaproteobacteria","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",0
"206","Other_Gammaproteobacteria","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",16
"207","Other_Gammaproteobacteria","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",34
"208","Other_Gammaproteobacteria","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",18
"209","Other_Gammaproteobacteria","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",62
"210","Other_Gammaproteobacteria","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",28
