gene_protein;profile;ec_number;Filter;category;subcategory;importance;specific;dificult_label
dpp4;PF00930;3.4.14.5;;Wothers;Proteolysis;low;FALSE;Offshore       Coast  
PIP;TIGR01249;3.4.11.5;;Wothers;Proteolysis;low;FALSE;Offshore       Coast  
Nudix;PF01156;3.2.1.21;;Wothers;Purines assimilation ;low;FALSE;Offshore       Coast  
Dxs;TIGR00204;2.7.7.7;;Wothers;Terpenoid biosynthesis;low;FALSE;Offshore       Coast  
HilA;PF00486;2.7.13.4;;Wothers;Transcription machinery;low;FALSE;Offshore       Coast  
ca;PF00484;4.2.1.1;;Wothers;;low;FALSE;Offshore       Coast  
cbbO;PF00092;NA;;Wothers;;low;FALSE;Offshore       Coast  
cbbQ;PF08406;NA;;Wothers;;low;FALSE;Offshore       Coast  
cphA;TIGR02068;6.3.2.29;;Wothers;;low;FALSE;Offshore       Coast  
cphB;TIGR02069;3.4.15.6;;Wothers;;low;FALSE;Offshore       Coast  
impB;PF11799;;;Wothers;;low;FALSE;Offshore       Coast  
Nmar_1308;arCOG00239;;;Wothers;;low;FALSE;Offshore       Coast  
Nmar_1309;arCOG01338 & arCOG01340;6.2.1.-;;Wothers;;low;FALSE;Offshore       Coast  
nptA;TIGR01013;NA;;Wothers;;low;FALSE;Offshore       Coast  
unk1;PF05787;NA;;Wothers;;low;FALSE;Offshore       Coast  
