cruise_station;Season_Station;Condition
ENV1_S3;Winter/Coast;1.Winter/Coast Early Bloom 
ENV1_S6;Winter/Offshore;1.Winter/Ocean Early Bloom 
ENV2_S3;Spring/Coast;2.Spring/Coast Downwelling 
ENV2_S6;Spring/Offshore;2.Spring/Ocean Downwelling
ENV3_S3;Summer/Coast;3.Summer/Coast Upwelling 
ENV3_S6;Summer/Offshore;3.Summer/Ocean Stratification
