sample;Depth;NO3;NO2;NH4;TIN;PO4;SiO2;DOC;TN;DON;Chla_0.2;Chla_3;Chlorophyll_a;Bacterial_abundance;Bacterial_biomass; Synechococcales;Prochlorococcus;Pico_small;Pico_big;PP_0.2;PP_0.2_SD;PP_3;PP_3_SD;PP_total;PP_total_ee;BP;BP_ee
ENV1_D5_S3;70;9.6035;0.0687;0.1022;9.7743;0.6289;6.7678;44.9555;10.4695;0.6952;0.024066506;0.046108106;0.070174612;36076.81529;0.439473367;25465;5;21998;2241;;;;;;;0.161345676;0.026725181
ENV1_D5_S6;5;1.06;0.192;0.1013;1.3533;0.1325;2.77;;;;0.5980424;1.8275504;2.4255928;191165.6534;2.715375974;23219;2438;5964;1560;;;;;;;;
ENV1_D5_S6;20;1.2975;0.1816;0.0889;1.5681;0.1511;3.2345;;;;0.5863328;1.1139536;1.7002864;178858.0686;2.475969296;29531;3561;8103;809;;;;;;;;
ENV1_D5_S6;50;1.8787;0.2769;0.0891;2.2447;0.1894;3.4953;;;;0.244688;0.282572;0.52726;127156.2602;1.640432512;12674;2099;3134;181;;;;;;;;
ENV1_D5_S6;100;2.8651;0.1767;0.0979;3.1398;0.2459;3.2093;;;;0.155144;0.3920912;0.5472352;93600.67525;1.296669936;8946;1005;1540;142;;;;;;;;
ENV1_D5_S6;150;6.9645;0.027;0.089;7.0805;0.4619;4.5759;;;;0.0463136;0.062156;0.1084696;43159.48201;0.637639206;329;74;98;20;;;;;;;;
ENV1_D7_S3;5;6.6284;0.0054;0.1457;6.7795;0.2641;13.5091;60.2574;9.52;2.7405;1.071627789;2.676531789;3.748159579;163448.7071;2.350483205;11212;0;29438;3860;6.406255671;0.069901526;1.632374957;0.189940786;8.038630628;0.129492131;2.42771801;0.007019355
ENV1_D7_S3;15;3.8011;0.0822;0.1096;3.9928;0.2516;5.5889;62.7198;8.7675;4.7746;0.632862189;4.228398189;4.861260379;157228.5665;2.024453129;14915;5;14263;1442;5.907047108;0.041490055;0.654832638;0.091174767;6.533073385;0.045854558;0.856032987;0.007075049
ENV1_D7_S3;30;5.0135;0.1341;0.0808;5.2284;0.3918;4.5989;59.0028;8.9493;3.7209;0.165855789;0.384894189;0.550749979;79850.01784;0.969836116;3664;0;1162;319;0.164383649;0.074906338;0.158064553;0.037601535;0.322448202;0.111522558;0.146990223;0.008835031
ENV1_D7_S3;50;8.0881;0.1384;0.0837;8.3102;0.5913;5.6502;50.7703;10.3911;2.0809;0.087332589;0.260910189;0.348242779;58004.88417;0.64924779;976;0;201;103;0.051947325;0.020945923;0.016473229;0.000377414;0.068420554;0.021269169;0.189025196;0.02568406
ENV1_D7_S3;75;10.0081;0.164;0.2129;10.385;0.7218;6.7153;54.8034;12.1434;1.7584;0.037050189;0.368362989;0.405413179;52680.44384;0.620481425;873;0;98;44;;;;;;;0.305877136;0.005524872
ENV1_D7_S6;5;1.3219;0.2229;0.0659;1.6107;0.1519;2.2631;;;;0.500612589;1.611646989;2.112259579;232616.6702;3.023505159;31483;3556;7097;1094;;;;;;;;
ENV1_D7_S6;20;1.2263;0.2291;0.0549;1.5102;0.1499;2.2227;;;;0.338744589;1.606825389;1.945569979;240959.952;3.139757466;32597;3105;7176;1197;;;;;;;;
ENV1_D7_S6;55;1.3215;0.2579;0.0506;1.63;0.1542;2.3974;;;;0.293283789;1.553787789;1.847071579;232284.9293;3.212115588;30468;3477;7303;1128;;;;;;;;
ENV1_D7_S6;85;2.2067;0.2833;0.0467;2.5367;0.211;2.9906;;;;0.452396589;0.228536589;0.680933179;124203.7668;1.43926056;13772;2384;2933;510;;;;;;;;
ENV1_D7_S6;130;6.6366;0.0562;0.0077;6.7005;0.4534;4.2331;;;;0.051514989;0.035672589;0.087187579;49877.23383;0.619599539;1329;0;284;64;;;;;;;;
ENV1_D7_S6;160;7.687;0.0459;0.0014;7.7343;0.5033;4.9525;;;;0.042560589;0.037738989;0.080299579;33920.49989;0.432446696;162;0;20;29;;;;;;;;
ENV1_D7_S6;200;9.2137;0.0378;0;9.2515;0.5893;5.2425;;;;0.012253389;0.017763789;0.030017179;25626.97914;0.323898495;69;0;10;0;;;;;;;;
ENV2_D1_S3;5;8.66;0.38;0.68;9.72;0.39;9.68;64.2270969;12.61321936;2.9;0.496;1.59;2.09;660971;8.468;32224.72523;0;23280.37867;2585.381883;2.49253734;0.062850067;0.756109462;0.07035739;3.248646802;0.121870699;2.355873189;0.126997714
ENV2_D1_S3;15;2.24;0.22;0.45;2.91;0.18;4.75;57.20439937;7.536479214;4.63;0.615;1.68;2.29;801413;9.613;24247.6578;0;33824.9154;1074.754594;1.905442993;0.436022683;0.838259623;0.463165567;2.754925875;0.886615399;2.543071094;0.013845349
ENV2_D1_S3;30;3.57;0.34;0.52;4.43;0.28;5.18;56.90850764;8.11109039;3.68;0.498;1.13;1.62;745871;9.203;36792.43225;0;37514.90617;2173.392622;0.684567588;0.03631948;0.221339079;0.109858418;0.905906667;0.146170608;1.310108823;0.039389628
ENV2_D1_S3;50;3.9;0.39;0.54;4.83;0.31;5.03;72.94812165;8.944330966;4.12;0.388;0.94;1.33;695533;8.719;30111.04119;0;39771.89082;2770.478508;0.140111378;0.027853901;0.085084095;0.045860084;0.225195473;0.067022046;1.037745549;0.074117569
ENV2_D1_S3;75;6.34;0.59;0.47;7.4;0.49;5.01;74.10789461;11.77696816;4.38;0.219;0.48;0.7;478508;6.022;12765.69623;3510.865005;20886.06427;1833.053668;;;;;;;0.533113088;0.070380951
ENV2_D1_S6;5;0.95;0.11;0.06;1.12;0.12;2.31;;;;0.873;0.97;1.84;433045;6.577;37192.47979;495.5812848;26558.38018;5517.07358;;;;;;;;
ENV2_D1_S6;20;1.63;0.31;0.1;2.05;0.18;3.16;;;;0.81;0.69;1.5;354467;5.383;35287.77582;417.9601197;25716.48908;3845.233101;;;;;;;;
ENV2_D1_S6;40;1.82;0.44;0.18;2.44;0.19;2.54;;;;0.284;0.24;0.52;269699;3.907;17918.54742;2812.27452;7350.127248;2555.527589;;;;;;;;
ENV2_D1_S6;90;2.82;0.32;0.04;3.17;0.26;2.62;;;;0.035;0.09;0.12;157447;2.409;5331.976956;2436.110412;710.5322035;274.6595072;;;;;;;;
ENV2_D1_S6;150;5.38;0.02;0;5.41;0.38;3.57;;;;0.023;0.05;0.08;118644;1.756;1868.878821;2316.693235;107.4754594;113.4463182;;;;;;;;
ENV2_D3_S3;5;3.37;0.32;0.6;4.29;0.29;5.89;82.26233899;9.956214873;5.67;0.755816188;1.11;1.87;678795;8.333;31788.85253;3839.262242;47008.57175;3116.788321;2.144523258;0.188832563;1.445748213;0.083996701;3.590271471;0.232475344;1.426955709;0.166340177
ENV2_D3_S3;15;2.7;0.37;0.75;3.81;0.27;3.75;72.28201274;9.383310014;5.57;0.376976188;1.05;1.43;531919;6.276;17285.63638;2698.828201;24313.33725;2424.168694;1.415441076;0.053876321;0.496108284;0.026844627;1.93183559;0.07313461;1.373208619;0.102670676
ENV2_D3_S3;25;3.21;0.41;0.92;4.53;0.33;4;67.74478904;10.33588456;5.81;0.253680988;0.46;0.71;446875;5.286;9947.450849;2740.624213;14001.66401;1809.170232;0.167226962;0.033252268;0.073274837;0.013984747;0.240501799;0.046531473;0.763090553;0.052597901
ENV2_D3_S3;50;3.53;0.46;0.91;4.91;0.34;3.63;70.73296503;10.45242557;5.54;0.194444188;0.358378588;0.55;430772;5.156;7027.70087;2615.236178;11655.11648;1152.375759;0.031529199;0.015024744;0.03548868;0.019962015;0.067017879;0.034725523;0.622521241;0.027466818
ENV2_D3_S3;75;4.36;0.58;0.87;5.8;0.41;4.46;68.42382443;10.89654612;5.09;0.174468988;0.328760188;0.5;440914;5.205;6717.216209;2615.236178;12455.21157;961.3082753;;;;;;;0.668885489;0.087680069
ENV2_D3_S6;5;0.47;0.11;0.06;0.64;0.08;2.71;;;;0.597392188;0.655251388;1.25;478446;7.372;0;0;0;0;;;;;;;;
ENV2_D3_S6;25;1.45;0.33;0.12;1.9;0.16;2.42;;;;0.985186588;0.743417788;1.73;402530;6.958;0;0;0;0;;;;;;;;
ENV2_D3_S6;50;2.05;0.56;0.19;2.81;0.21;2.82;;;;0.201332188;0.188244988;0.39;233272;3.066;8293.522947;179.1257656;2507.760718;1015.046005;;;;;;;;
ENV2_D3_S6;90;2.26;0.55;0.13;2.93;0.22;2.74;;;;0.242660188;0.189622588;0.43;215325;2.918;7415.806695;322.4263781;2167.421764;1062.812876;;;;;;;;
ENV2_D3_S6;125;2.55;0.52;0.06;3.14;0.24;2.96;;;;0.135896188;0.137962588;0.27;171850;2.345;4776.687082;167.1840479;1731.549067;441.8435551;;;;;;;;
ENV2_D3_S6;150;3.67;0.29;0.04;4.01;0.3;3.22;;;;0.081480988;0.085613788;0.17;147142;2.106;3003.342003;179.1257656;943.3956987;262.7177895;;;;;;;;
ENV2_D3_S6;200;7.55;0.05;0.03;7.62;0.51;4.21;;;;0.057372988;0.044285788;0.1;85638;1.225;394.0766843;244.805213;47.76687082;5.970858853;;;;;;;;
ENV2_D5_S3;5;4.18;0.16;0.55;4.89;0.19;10.52;76.01577281;11.38127401;6.5;1.069282523;1.335159323;2.4;314764;4.299;17751.36337;2065.917163;7081.438599;1988.295998;4.104105169;0.21140794;2.100155686;0.158655126;6.204260855;0.257882711;1.95380949;0.153164661
ENV2_D5_S3;10;0.21;0.07;0.1;0.37;0.06;3.41;62.64952512;6.02441228;5.65;1.056884123;1.158137723;2.22;723246;9.511;21315.9661;543.3481556;8812.987667;2495.819;2.329684684;0.106038987;1.615561476;0.169577475;3.90278478;0.150162781;1.441965661;0.041732721
ENV2_D5_S3;15;0.13;0.07;0.21;0.41;0.05;3.56;61.77703463;5.936982701;5.53;0.605720123;1.296586523;1.9;455337;5.516;40333.15155;471.6978494;11052.05974;1522.569007;0.53601306;0.056272495;0.27966114;0.083538349;0.8156742;0.134914351;0.738007382;0.015201479
ENV2_D5_S3;30;1.85;0.48;0.61;2.94;0.23;3.99;59.62701348;8.972331965;6.03;0.328822523;0.616740923;0.95;312374;3.633;9224.976928;513.4938613;4985.667142;925.4831222;0.088386975;0.026122815;0.09472154;0.042951279;0.183108515;0.068999457;0.350456619;0.045927395
ENV2_D5_S3;70;3.65;0.61;0.99;5.24;0.39;3.84;60.90485698;10.12845957;4.88;0.115983323;0.282672923;0.4;225630;2.619;4615.473893;519.4647202;2806.303661;382.1349666;;;;;;;0.333293656;0.008419204
ENV2_D5_S6;5;0.24;0.03;0.03;0.3;0.06;2.48;;;;0.658757723;0.826136123;1.48;633661;10.3;66766.14369;6806.779092;26056.82803;3439.214699;;;;;;;;
ENV2_D5_S6;20;1.25;0.33;0.12;1.7;0.16;2.71;;;;0.793762523;1.176735323;1.97;446117;6.805;37079.03348;4782.657941;20957.71457;7815.854238;;;;;;;;
ENV2_D5_S6;50;2.12;0.57;0.17;2.86;0.22;2.84;;;;0.356374523;0.394523446;0.75;248125;3.7;9398.131834;4555.765305;3540.7193;4221.397209;;;;;;;;
ENV2_D5_S6;100;1.99;0.43;0.05;2.47;0.21;2.02;;;;0.140780123;0.130448123;0.27;204384;3.091;4919.987695;6938.137987;1904.703974;949.3665576;;;;;;;;
ENV2_D5_S6;150;7.75;0.04;0.03;7.83;0.52;3.73;;;;0.152489723;0.115983323;0.27;96968;1.509;537.3772968;7123.234611;137.3297536;113.4463182;;;;;;;;
ENV2_D7_S3;5;5.88;0.14;0.84;6.85;0.24;10.93;86.14639156;12.72460378;5.87;0.532018523;1.286254523;1.82;273243;3.914;19375.43698;5702.170204;14353.94468;3122.75918;4.25990452;0.203686697;0.975123794;0.147672995;5.235028314;0.067661466;1.927364062;0.134455673
ENV2_D7_S3;15;0.84;0.06;0.25;1.15;0.07;4.63;77.90434401;6.558247003;5.41;0.555437723;1.114743323;1.67;440504;6.262;39359.90156;6556.00302;17476.70386;3970.621137;2.369707167;0.186184946;1.020337537;0.135468915;3.366897896;0.317262086;1.979418201;0.097051852
ENV2_D7_S3;30;1.46;0.18;1.39;3.03;0.21;3.45;64.62248295;8.059978595;5.03;0.268896923;0.379793723;0.65;176542;2.409;13070.21003;5152.85119;3845.233101;1295.676371;0.274944626;0.087697833;0.10690726;0.068502399;0.381851886;0.155413049;0.623288784;0.064660113
ENV2_D7_S3;50;2.3;0.29;1.8;4.39;0.28;3.66;64.24811141;10.37800159;5.98;0.208282523;0.370150523;0.58;219955;2.773;8621.920183;6591.828174;2871.983108;1934.558268;0.068877009;0.024270178;0.063008143;0.028344481;0.131885153;0.052569881;0.461342572;0.058440647
ENV2_D7_S3;75;2.33;0.52;1.25;4.1;0.29;3.56;63.66126237;9.929390763;5.83;0.204838523;0.264075323;0.47;228703;2.918;4693.095058;6317.168666;2191.305199;1092.66717;;;;;;;0.426980035;0.078342467
ENV2_D7_S6;5;0.11;0.01;0.2;0.32;0.07;2.05;;;;0.674600123;0.735903323;1.41;523868;9.426;44614.25735;5093.142601;17524.47073;5690.228487;;;;;;;;
ENV2_D7_S6;20;0.79;0.2;0.46;1.45;0.12;1.12;;;;0.838534523;1.567284923;2.41;387093;6.277;30290.16696;3576.544453;8012.89258;7881.533686;;;;;;;;
ENV2_D7_S6;55;2.05;0.39;0.08;2.52;0.23;1.66;;;;0.224124923;0.348108923;0.57;212661;3.304;7332.214671;3403.389546;2501.789859;2328.634953;;;;;;;;
ENV2_D7_S6;85;5.07;0.05;0.22;5.34;0.35;1.92;;;;0.039526523;0.073966523;0.11;152428;2.255;1331.501524;7541.194731;417.9601197;197.0383421;;;;;;;;
ENV2_D7_S6;130;7.93;0.03;0.02;7.98;0.57;3.76;;;;0.074655323;0.206216123;0.28;95062;1.39;668.7361915;9177.210057;101.5046005;65.67944738;;;;;;;;
ENV2_D7_S6;160;8.71;0.04;0.05;8.81;0.61;5.46;;;;;0.078788123;0.08;112026;1.64;1134.463182;8090.513746;101.5046005;113.4463182;;;;;;;;
ENV2_D7_S6;200;9.87;0.04;0.08;9.99;0.66;4.7;;;;0.025750523;0.051236123;0.08;77566;1.199;1307.618089;7445.660989;65.67944738;71.65030623;;;;;;;;
ENV3_D1_S3;5;0.17;0.04;0.12;0.33;0.1;1.54;82.32;5.53;5.21;0.202;8.062501014;8.265;645067;50;1557;0;990;969;25.49455521;3.224577263;1.27354621;0.5493412;26.76810142;3.728791198;23.60597923;0.783615569
ENV3_D1_S3;15;1.7;0.14;0.45;2.28;0.25;1.7;74.98;5.92;3.64;0.157;15.05775008;15.215;3013813;230;2007;0;1172;1188;39.2281115;1.59751735;0.466639546;0.037908732;39.40266979;1.559265397;14.33364815;4.042923858
