sample;Depth;NO3;NO2;NH4;TIN;PO4;SiO2;DOC;TN;DON;Chla_0.2;Chla_3;Chlorophyll_a;Bacterial_abundance;Bacterial_biomass; Synechococcales;Prochlorococcus;Pico_small;Pico_big;PP_0.2;PP_0.2_SD;PP_3;PP_3_SD;PP_total;PP_total_ee;BP;BP_ee
ENV3_D7_S6;30;8.05;0.21;0.41;8.68;0.7;5.86;53.83;10.23;1.56;0.158711;0.714056;0.872767;654940;50;1006;0;1386;915;0.460440112;0.019553351;0.10251513;0.040231511;0.562955242;0.046303075;6.036656769;0.434296634
ENV3_D7_S6;50;8.92;0.23;0.37;9.52;0.67;4.67;50.83;10.62;1.1;0.133742;0.801017;0.934759;554529;42;755;0;797;733;0.165952552;0.079756788;0.075856726;0.038517804;0.241809278;0.117159561;2.722163307;0.458642015
ENV3_D7_S6;75;7.37;0.07;0.08;7.52;0.58;4.02;52.34;11.29;3.77;0.058835;0.253421;0.312256;354121;27;128;0;155;86;;;;;;;0.517306037;0.069789343
ENV3_D7_S3;5;5.74;0.09;0.16;0.32;0.49;1.38;;;;0.353297;1.654268;2.007565;780072;133;27047;0;14075;1905;;;;;;;;
ENV3_D7_S3;20;0.31;0.09;0.48;0.87;0.09;2.2;;;;0.463505;3.094721;3.558226;569999;97;19566;0;8777;2141;;;;;;;;
ENV3_D7_S3;55;3.21;0.37;0.18;3.76;0.25;2.1;;;;0.237923;0.349853;0.587776;343989;58;10516;0;3334;1900;;;;;;;;
ENV3_D7_S3;85;4.3;0.17;0.34;4.81;0.28;1.98;;;;0.138047;0.168182;0.306229;285375;48;5469;2221;910;1161;;;;;;;;
ENV3_D7_S3;130;5.07;0.1;0.08;5.24;0.33;2.43;;;;0.348131;0.064001;0.412132;164856;28;1001;230;96;444;;;;;;;;
ENV3_D7_S3;160;5.8;0.11;0.05;5.96;0.38;2.77;;;;0.031283;0.104468;0.135751;;;;;;;;;;;;;;
ENV3_D7_S3;200;7.2;0.09;0.05;7.35;0.46;3.46;;;;0.046781;0.055391;0.102172;;;;;;;;;;;;;;
